restaurant_name,dining_rating,delivery_rating,dining_votes,delivery_votes,cuisine,place,city,item_name,best_seller,votes,price,avg_rating,total_votes,price_per_vote,Log_Price,is_bestseller,restaurant_popularity,avg_rating_restaurant,avg_price_restaurant,avg_rating_cuisine,avg_price_cuisine,avg_rating_city,avg_price_city,is_highly_rated,is_expensive,segment
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Platter Kebab Combo,BESTSELLER,84,249.0,4.05,39,2.929411765,5.521460918,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Chicken Rumali Shawarma,BESTSELLER,45,129.0,4.05,39,2.804347826,4.86753445,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Chicken Tandoori Salad,NONE,39,189.0,4.05,39,4.725,5.247024072,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Chicken BBQ Salad,BESTSELLER,43,189.0,4.05,39,4.295454545,5.247024072,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Special Doner Wrap Combo,MUST TRY,31,205.0,4.05,39,6.40625,5.327876169,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Chicken Tandoori Pizza [8 inches],BESTSELLER,48,199.0,4.05,39,4.06122449,5.298317367,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Special Zinger Tortilla Wrap,CHEF'S SPECIAL,27,165.0,4.05,39,5.892857143,5.111987788,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Chicken Popcorn [20 Pieces],BESTSELLER,59,165.0,4.05,39,2.75,5.111987788,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Chicken Tandoori Sandwich,NONE,29,115.0,4.05,39,3.833333333,4.753590191,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Chicken Bread Samoli Shawarma,NONE,31,129.0,4.05,39,4.03125,4.86753445,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Fish Platter [Boneless Indian Basa],NONE,9,295.0,4.05,39,29.5,5.690359454,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
Doner King,3.9,4.2,39,0,Fast Food,Malakpet,Hyderabad,Special Platter Kebab Combo,BESTSELLER,27,279.0,4.05,39,9.964285714,5.634789603,1,46,4.05,171.3478261,3.818679705,255.9548939,3.939031141,245.1304823,1,0,weak
